Sales Channel,OrderDate,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Discount Applied,Revenue,recency,frequency,monetary,R,F,M,rfm_group,rfm_total,segment
In-Store,2018-06-03,7,26,40,2,0.05,4882.76,11,153,375766.72,1,2,2,122,5,Need Attention
Distributor,2018-06-03,24,24,367,3,0.05,17333.17,23,151,352505.54,1,2,1,121,4,Need Attention
Distributor,2018-06-04,25,18,249,34,0.2,514.96,6,186,451637.75,3,5,4,354,12,Potential Loyalists
In-Store,2018-06-04,11,21,6,11,0.05,2785.86,3,164,479383.05,5,4,5,545,14,Champions
Online,2018-06-04,15,14,212,8,0.4,618.54,5,157,381450.02,3,3,2,332,8,At Risk Customer
Distributor,2018-06-04,23,3,37,11,0.1,5531.52,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Online,2018-06-04,17,13,38,35,0.05,4697.97,4,171,441003.32,4,4,3,443,11,At Risk Customer
Online,2018-06-04,18,49,294,33,0.05,6774.71,7,152,354161.33,2,2,1,221,5,Need Attention
Distributor,2018-06-05,24,4,105,16,0.3,1442.38,5,167,526981.0599999999,3,4,5,345,12,Champions
Distributor,2018-06-05,23,20,17,8,0.05,16007.64,9,167,439147.97,2,4,3,243,9,Cant Lose Group
In-Store,2018-06-05,4,19,109,44,0.075,854.25,3,165,443231.83,5,4,4,544,13,Potential Loyalists
Online,2018-06-05,16,25,141,22,0.3,388.33,5,162,461601.95,3,4,4,344,11,Potential Loyalists
Online,2018-06-05,19,8,111,16,0.05,3337.27,5,142,338000.04,3,1,1,311,5,Checker
Distributor,2018-06-05,23,24,349,25,0.075,5126.44,23,151,352505.54,1,2,1,121,4,Need Attention
Wholesale,2018-06-05,27,13,360,4,0.05,2303.06,4,171,441003.32,4,4,3,443,11,At Risk Customer
Distributor,2018-06-06,24,32,148,33,0.075,2179.91,2,173,435206.07,5,5,3,553,13,Potential Loyalists
Online,2018-06-06,19,28,103,45,0.05,12523.1,8,145,348495.46,2,1,1,211,4,Need Attention
Online,2018-06-06,13,8,59,45,0.4,569.23,5,142,338000.04,3,1,1,311,5,Checker
Online,2018-06-06,14,47,60,1,0.4,-171.52,8,168,442845.83999999997,2,4,4,244,10,Cant Lose Group
In-Store,2018-06-07,11,33,238,20,0.3,-778.54,4,156,495444.29,4,2,5,425,11,Champions
In-Store,2018-06-07,3,26,151,21,0.075,10953.5,11,153,375766.72,1,2,2,122,5,Need Attention
Online,2018-06-07,13,20,152,44,0.1,2803.95,9,167,439147.97,2,4,3,243,9,Cant Lose Group
Online,2018-06-07,20,6,262,8,0.3,804.0,4,143,392141.08,4,1,2,412,7,Potential Loyalists
In-Store,2018-06-07,5,40,120,46,0.05,2686.9,9,150,406016.91,2,1,2,212,5,Need Attention
Online,2018-06-07,18,23,233,46,0.1,603.4,12,164,449782.3,1,4,4,144,9,Cant Lose Group
Online,2018-06-07,13,38,77,39,0.1,3788.45,8,150,350687.63,2,1,1,211,4,Need Attention
In-Store,2018-06-07,4,30,69,11,0.05,5971.38,4,159,442372.43,4,3,4,434,11,Potential Loyalists
Distributor,2018-06-08,23,42,215,37,0.05,771.84,2,161,427159.63,5,3,3,533,11,Potential Loyalists
In-Store,2018-06-08,9,1,30,35,0.15,799.44,9,152,335933.63,2,2,1,221,5,Need Attention
Distributor,2018-06-08,25,11,169,10,0.3,261.97,6,178,487614.24,3,5,5,355,13,Champions
Distributor,2018-06-08,24,4,333,14,0.05,2588.88,5,167,526981.0599999999,3,4,5,345,12,Champions
Wholesale,2018-06-08,28,6,96,10,0.15,884.4,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Distributor,2018-06-08,24,17,289,45,0.05,5219.97,6,175,534027.38,3,5,5,355,13,Champions
In-Store,2018-06-08,3,7,140,22,0.05,1117.16,3,153,414155.93,5,2,3,523,10,Potential Loyalists
In-Store,2018-06-09,1,1,107,1,0.075,478.25,9,152,335933.63,2,2,1,221,5,Need Attention
In-Store,2018-06-09,11,27,338,35,0.2,5018.77,3,144,336959.79,5,1,1,511,7,Checker
In-Store,2018-06-09,5,33,232,15,0.05,809.36,4,156,495444.29,4,2,5,425,11,Champions
Wholesale,2018-06-09,26,28,231,28,0.2,351.75,8,145,348495.46,2,1,1,211,4,Need Attention
Online,2018-06-09,13,42,158,11,0.075,391.95,2,161,427159.63,5,3,3,533,11,Potential Loyalists
Online,2018-06-09,18,5,36,29,0.1,5328.78,30,159,445632.75,1,3,4,134,8,Need Attention
In-Store,2018-06-09,3,10,206,28,0.05,2799.93,15,158,435122.22000000003,1,3,3,133,7,Need Attention
In-Store,2018-06-10,10,34,255,15,0.05,343.38,15,176,496418.7,1,5,5,155,11,Cant Lose Group
Online,2018-06-10,14,23,336,27,0.075,7941.81,12,164,449782.3,1,4,4,144,9,Cant Lose Group
Online,2018-06-10,20,18,307,15,0.05,189.34,6,186,451637.75,3,5,4,354,12,Potential Loyalists
Online,2018-06-10,15,8,9,28,0.1,5447.1,5,142,338000.04,3,1,1,311,5,Checker
Online,2018-06-10,13,36,200,18,0.075,1941.32,4,156,441225.98,4,2,3,423,9,At Risk Customer
In-Store,2018-06-11,6,47,337,30,0.1,507.93,8,168,442845.83999999997,2,4,4,244,10,Cant Lose Group
Online,2018-06-11,15,27,158,31,0.2,778.54,3,144,336959.79,5,1,1,511,7,Checker
Online,2018-06-11,13,5,249,8,0.4,-1976.5,30,159,445632.75,1,3,4,134,8,Need Attention
Online,2018-06-11,20,38,185,5,0.3,203.41,8,150,350687.63,2,1,1,211,4,Need Attention
Online,2018-06-11,20,21,189,10,0.3,2881.54,3,164,479383.05,5,4,5,545,14,Champions
Distributor,2018-06-11,22,24,170,43,0.075,3105.72,23,151,352505.54,1,2,1,121,4,Need Attention
Distributor,2018-06-11,21,25,130,37,0.1,217.08,5,162,461601.95,3,4,4,344,11,Potential Loyalists
In-Store,2018-06-12,5,11,149,15,0.1,2515.85,6,178,487614.24,3,5,5,355,13,Champions
Distributor,2018-06-12,24,17,99,33,0.15,3440.12,6,175,534027.38,3,5,5,355,13,Champions
Wholesale,2018-06-12,27,5,21,17,0.05,236.38,30,159,445632.75,1,3,4,134,8,Need Attention
Online,2018-06-12,18,30,90,1,0.05,3833.47,4,159,442372.43,4,3,4,434,11,Potential Loyalists
Online,2018-06-12,14,9,360,15,0.05,4573.76,8,171,500166.4,2,4,5,245,11,Cant Lose Group
In-Store,2018-06-12,4,47,23,47,0.05,1206.0,8,168,442845.83999999997,2,4,4,244,10,Cant Lose Group
Online,2018-06-12,20,5,144,40,0.05,3284.34,30,159,445632.75,1,3,4,134,8,Need Attention
Wholesale,2018-06-12,28,23,134,23,0.075,2707.07,12,164,449782.3,1,4,4,144,9,Cant Lose Group
Online,2018-06-12,20,14,180,11,0.2,3187.86,5,157,381450.02,3,3,2,332,8,At Risk Customer
Distributor,2018-06-12,20,44,58,23,0.075,1197.62,3,156,348209.08,5,2,1,521,8,Checker
Online,2018-06-13,12,38,175,43,0.1,455.87,8,150,350687.63,2,1,1,211,4,Need Attention
Online,2018-06-13,14,14,95,1,0.075,3194.69,5,157,381450.02,3,3,2,332,8,At Risk Customer
Online,2018-06-13,13,34,231,31,0.075,1227.27,15,176,496418.7,1,5,5,155,11,Cant Lose Group
In-Store,2018-06-13,1,13,199,11,0.1,1558.96,4,171,441003.32,4,4,3,443,11,At Risk Customer
In-Store,2018-06-13,2,5,58,39,0.1,259.62,30,159,445632.75,1,3,4,134,8,Need Attention
In-Store,2018-06-13,2,2,345,3,0.05,698.68,9,135,327409.14,2,1,1,211,4,Need Attention
Online,2018-06-13,13,17,241,20,0.1,2414.41,6,175,534027.38,3,5,5,355,13,Champions
In-Store,2018-06-13,6,40,186,27,0.2,3165.28,9,150,406016.91,2,1,2,212,5,Need Attention
In-Store,2018-06-13,7,15,144,8,0.1,864.9,4,142,441668.35,4,1,4,414,9,Potential Loyalists
Online,2018-06-14,20,12,40,11,0.3,343.04,3,210,616719.31,5,5,5,555,15,Champions
In-Store,2018-06-14,6,25,288,32,0.15,11562.73,5,162,461601.95,3,4,4,344,11,Potential Loyalists
In-Store,2018-06-14,2,13,169,40,0.05,1018.4,4,171,441003.32,4,4,3,443,11,At Risk Customer
Online,2018-06-14,15,18,277,21,0.075,171.69,6,186,451637.75,3,5,4,354,12,Potential Loyalists
Online,2018-06-14,16,3,219,12,0.15,705.51,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Wholesale,2018-06-14,26,25,306,11,0.075,2229.76,5,162,461601.95,3,4,4,344,11,Potential Loyalists
In-Store,2018-06-14,8,11,7,22,0.05,3357.5,6,178,487614.24,3,5,5,355,13,Champions
Wholesale,2018-06-14,28,44,78,4,0.075,588.83,3,156,348209.08,5,2,1,521,8,Checker
In-Store,2018-06-14,3,30,28,9,0.1,4805.57,4,159,442372.43,4,3,4,434,11,Potential Loyalists
Distributor,2018-06-14,22,38,39,6,0.05,804.8,8,150,350687.63,2,1,1,211,4,Need Attention
Online,2018-06-14,19,47,122,2,0.15,6199.91,8,168,442845.83999999997,2,4,4,244,10,Cant Lose Group
In-Store,2018-06-15,4,17,48,32,0.075,5164.36,6,175,534027.38,3,5,5,355,13,Champions
Online,2018-06-15,18,28,1,30,0.1,424.85,8,145,348495.46,2,1,1,211,4,Need Attention
In-Store,2018-06-15,8,5,198,23,0.1,235.17,30,159,445632.75,1,3,4,134,8,Need Attention
In-Store,2018-06-15,1,32,242,5,0.05,352.69,2,173,435206.07,5,5,3,553,13,Potential Loyalists
Wholesale,2018-06-15,27,21,200,14,0.075,1619.26,3,164,479383.05,5,4,5,545,14,Champions
In-Store,2018-06-15,5,49,304,25,0.1,1165.0,7,152,354161.33,2,2,1,221,5,Need Attention
In-Store,2018-06-15,2,6,31,27,0.05,951.13,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Online,2018-06-15,19,47,71,33,0.05,2879.93,8,168,442845.83999999997,2,4,4,244,10,Cant Lose Group
In-Store,2018-06-15,4,32,250,18,0.05,1468.1,2,173,435206.07,5,5,3,553,13,Potential Loyalists
In-Store,2018-06-15,10,18,167,2,0.075,1184.89,6,186,451637.75,3,5,4,354,12,Potential Loyalists
Distributor,2018-06-15,22,8,132,4,0.2,1099.87,5,142,338000.04,3,1,1,311,5,Checker
In-Store,2018-06-15,1,24,56,21,0.15,3966.67,23,151,352505.54,1,2,1,121,4,Need Attention
Distributor,2018-06-15,21,11,259,26,0.15,1039.97,6,178,487614.24,3,5,5,355,13,Champions
Online,2018-06-16,20,50,341,25,0.4,-258.29,16,163,498385.06,1,4,5,145,10,Cant Lose Group
In-Store,2018-06-16,10,7,195,37,0.15,1017.06,3,153,414155.93,5,2,3,523,10,Potential Loyalists
Online,2018-06-16,19,2,33,40,0.05,1390.12,9,135,327409.14,2,1,1,211,4,Need Attention
In-Store,2018-06-16,2,18,279,41,0.05,1069.32,6,186,451637.75,3,5,4,354,12,Potential Loyalists
In-Store,2018-06-16,7,28,148,9,0.15,88.04,8,145,348495.46,2,1,1,211,4,Need Attention
In-Store,2018-06-16,11,47,170,17,0.15,1696.91,8,168,442845.83999999997,2,4,4,244,10,Cant Lose Group
In-Store,2018-06-16,3,27,181,38,0.4,-285.96,3,144,336959.79,5,1,1,511,7,Checker
Online,2018-06-17,19,21,77,12,0.05,10933.33,3,164,479383.05,5,4,5,545,14,Champions
In-Store,2018-06-17,3,43,122,23,0.15,1638.15,5,151,372471.34,3,2,2,322,7,At Risk Customer
Distributor,2018-06-17,24,42,36,18,0.15,1608.0,2,161,427159.63,5,3,3,533,11,Potential Loyalists
Online,2018-06-17,17,34,217,16,0.05,5829.0,15,176,496418.7,1,5,5,155,11,Cant Lose Group
Online,2018-06-17,20,37,63,12,0.15,669.73,11,152,425241.12,1,2,3,123,6,Need Attention
Distributor,2018-06-17,21,50,341,7,0.05,813.25,16,163,498385.06,1,4,5,145,10,Cant Lose Group
In-Store,2018-06-17,3,17,36,35,0.15,239.59,6,175,534027.38,3,5,5,355,13,Champions
Online,2018-06-17,12,25,163,26,0.075,75.17,5,162,461601.95,3,4,4,344,11,Potential Loyalists
Online,2018-06-18,12,21,101,43,0.075,1711.92,3,164,479383.05,5,4,5,545,14,Champions
In-Store,2018-06-18,1,35,321,12,0.05,459.49,10,145,345844.59,2,1,1,211,4,Need Attention
In-Store,2018-06-18,3,9,276,8,0.15,0.0,8,171,500166.4,2,4,5,245,11,Cant Lose Group
In-Store,2018-06-18,6,22,101,5,0.05,336.07,4,140,401721.77,4,1,2,412,7,Potential Loyalists
In-Store,2018-06-18,5,28,248,4,0.1,623.77,8,145,348495.46,2,1,1,211,4,Need Attention
Distributor,2018-06-18,24,41,95,35,0.05,8814.52,2,161,403693.28,5,3,2,532,10,Potential Loyalists
Distributor,2018-06-18,20,28,33,5,0.075,3518.17,8,145,348495.46,2,1,1,211,4,Need Attention
Online,2018-06-18,13,22,12,21,0.1,223.11,4,140,401721.77,4,1,2,412,7,Potential Loyalists
In-Store,2018-06-18,10,26,119,35,0.05,542.7,11,153,375766.72,1,2,2,122,5,Need Attention
Distributor,2018-06-18,23,12,290,40,0.05,4336.37,3,210,616719.31,5,5,5,555,15,Champions
Online,2018-06-18,17,31,110,36,0.075,1481.37,4,152,398616.83,4,2,2,422,8,At Risk Customer
Online,2018-06-19,17,25,87,39,0.075,677.87,5,162,461601.95,3,4,4,344,11,Potential Loyalists
Distributor,2018-06-19,21,35,177,38,0.2,313.29,10,145,345844.59,2,1,1,211,4,Need Attention
In-Store,2018-06-19,11,45,94,8,0.2,508.86,5,156,407145.0,3,2,3,323,8,At Risk Customer
In-Store,2018-06-19,1,19,126,19,0.05,10246.18,3,165,443231.83,5,4,4,544,13,Potential Loyalists
In-Store,2018-06-19,3,16,17,9,0.2,2110.5,3,135,402938.75,5,1,2,512,8,Potential Loyalists
In-Store,2018-06-19,3,15,178,2,0.075,2683.18,4,142,441668.35,4,1,4,414,9,Potential Loyalists
In-Store,2018-06-19,1,8,76,36,0.4,-202.61,5,142,338000.04,3,1,1,311,5,Checker
In-Store,2018-06-19,6,27,318,1,0.05,158.66,3,144,336959.79,5,1,1,511,7,Checker
Distributor,2018-06-19,21,12,217,21,0.3,-121.94,3,210,616719.31,5,5,5,555,15,Champions
In-Store,2018-06-20,2,30,278,12,0.1,1291.63,4,159,442372.43,4,3,4,434,11,Potential Loyalists
Distributor,2018-06-20,21,19,341,23,0.15,920.58,3,165,443231.83,5,4,4,544,13,Potential Loyalists
Online,2018-06-20,16,44,122,3,0.075,214.67,3,156,348209.08,5,2,1,521,8,Checker
In-Store,2018-06-20,11,24,200,47,0.2,-0.0,23,151,352505.54,1,2,1,121,4,Need Attention
In-Store,2018-06-20,3,10,30,37,0.2,400.93,15,158,435122.22000000003,1,3,3,133,7,Need Attention
Distributor,2018-06-20,25,35,233,31,0.15,4003.38,10,145,345844.59,2,1,1,211,4,Need Attention
Online,2018-06-20,18,38,151,28,0.15,2596.92,8,150,350687.63,2,1,1,211,4,Need Attention
Distributor,2018-06-21,24,31,353,25,0.075,840.92,4,152,398616.83,4,2,2,422,8,At Risk Customer
Wholesale,2018-06-21,25,40,43,7,0.2,-113.9,9,150,406016.91,2,1,2,212,5,Need Attention
In-Store,2018-06-21,4,9,339,47,0.15,703.5,8,171,500166.4,2,4,5,245,11,Cant Lose Group
Wholesale,2018-06-21,26,41,228,26,0.05,546.32,2,161,403693.28,5,3,2,532,10,Potential Loyalists
Wholesale,2018-06-21,27,11,128,46,0.1,3020.36,6,178,487614.24,3,5,5,355,13,Champions
Wholesale,2018-06-21,28,48,55,2,0.05,11085.55,10,172,424970.73,2,5,3,253,10,Cant Lose Group
Distributor,2018-06-22,24,4,177,33,0.1,2046.85,5,167,526981.0599999999,3,4,5,345,12,Champions
In-Store,2018-06-22,2,4,81,18,0.1,447.43,5,167,526981.0599999999,3,4,5,345,12,Champions
In-Store,2018-06-22,1,40,365,41,0.4,-2063.6,9,150,406016.91,2,1,2,212,5,Need Attention
Online,2018-06-22,15,19,48,27,0.05,626.58,3,165,443231.83,5,4,4,544,13,Potential Loyalists
In-Store,2018-06-22,11,24,11,42,0.1,1597.28,23,151,352505.54,1,2,1,121,4,Need Attention
In-Store,2018-06-22,11,6,127,39,0.075,266.33,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Online,2018-06-22,13,6,201,35,0.05,7959.6,4,143,392141.08,4,1,2,412,7,Potential Loyalists
In-Store,2018-06-22,8,9,339,28,0.075,1522.27,8,171,500166.4,2,4,5,245,11,Cant Lose Group
In-Store,2018-06-22,3,3,198,9,0.2,4937.63,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Online,2018-06-22,15,36,150,2,0.05,9157.69,4,156,441225.98,4,2,3,423,9,At Risk Customer
Online,2018-06-23,19,27,311,46,0.1,877.97,3,144,336959.79,5,1,1,511,7,Checker
In-Store,2018-06-23,5,29,304,25,0.075,455.6,2,179,531770.74,5,5,5,555,15,Champions
In-Store,2018-06-23,5,11,247,32,0.2,203.14,6,178,487614.24,3,5,5,355,13,Champions
In-Store,2018-06-23,11,24,265,41,0.075,1579.26,23,151,352505.54,1,2,1,121,4,Need Attention
In-Store,2018-06-24,5,38,366,37,0.2,1967.59,8,150,350687.63,2,1,1,211,4,Need Attention
Online,2018-06-24,19,38,125,14,0.05,3457.2,8,150,350687.63,2,1,1,211,4,Need Attention
Wholesale,2018-06-24,27,20,182,47,0.1,6828.64,9,167,439147.97,2,4,3,243,9,Cant Lose Group
In-Store,2018-06-25,11,46,152,24,0.3,1201.18,4,157,378414.74,4,3,2,432,9,At Risk Customer
In-Store,2018-06-25,1,38,256,25,0.15,307.66,8,150,350687.63,2,1,1,211,4,Need Attention
Online,2018-06-25,19,5,66,20,0.075,1579.32,30,159,445632.75,1,3,4,134,8,Need Attention
Online,2018-06-25,17,32,156,33,0.075,4103.21,2,173,435206.07,5,5,3,553,13,Potential Loyalists
Wholesale,2018-06-26,26,36,200,10,0.1,857.87,4,156,441225.98,4,2,3,423,9,At Risk Customer
Online,2018-06-26,12,1,299,7,0.075,490.81,9,152,335933.63,2,2,1,221,5,Need Attention
Online,2018-06-26,17,22,199,31,0.2,1515.54,4,140,401721.77,4,1,2,412,7,Potential Loyalists
Online,2018-06-26,15,21,157,1,0.05,562.8,3,164,479383.05,5,4,5,545,14,Champions
In-Store,2018-06-26,1,14,187,22,0.05,2299.44,5,157,381450.02,3,3,2,332,8,At Risk Customer
Online,2018-06-26,18,50,84,46,0.1,677.64,16,163,498385.06,1,4,5,145,10,Cant Lose Group
Distributor,2018-06-26,22,41,228,25,0.075,920.31,2,161,403693.28,5,3,2,532,10,Potential Loyalists
Distributor,2018-06-26,22,35,180,29,0.05,246.22,10,145,345844.59,2,1,1,211,4,Need Attention
In-Store,2018-06-26,7,21,250,16,0.1,1477.95,3,164,479383.05,5,4,5,545,14,Champions
In-Store,2018-06-26,4,37,326,36,0.075,1728.73,11,152,425241.12,1,2,3,123,6,Need Attention
Distributor,2018-06-27,24,14,136,18,0.05,1772.82,5,157,381450.02,3,3,2,332,8,At Risk Customer
In-Store,2018-06-27,2,18,112,37,0.075,8643.0,6,186,451637.75,3,5,4,354,12,Potential Loyalists
In-Store,2018-06-27,3,22,108,43,0.05,3313.15,4,140,401721.77,4,1,2,412,7,Potential Loyalists
Wholesale,2018-06-27,27,48,56,42,0.05,1070.66,10,172,424970.73,2,5,3,253,10,Cant Lose Group
Distributor,2018-06-27,23,7,195,25,0.05,1410.75,3,153,414155.93,5,2,3,523,10,Potential Loyalists
In-Store,2018-06-27,9,33,82,42,0.15,310.08,4,156,495444.29,4,2,5,425,11,Champions
In-Store,2018-06-27,5,18,215,14,0.075,6090.3,6,186,451637.75,3,5,4,354,12,Potential Loyalists
In-Store,2018-06-27,9,6,134,47,0.05,2082.36,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Wholesale,2018-06-27,26,10,322,35,0.1,3012.86,15,158,435122.22000000003,1,3,3,133,7,Need Attention
Online,2018-06-27,15,4,176,42,0.3,161.8,5,167,526981.0599999999,3,4,5,345,12,Champions
In-Store,2018-06-27,6,22,70,26,0.075,175.84,4,140,401721.77,4,1,2,412,7,Potential Loyalists
Online,2018-06-27,18,48,252,29,0.075,415.74,10,172,424970.73,2,5,3,253,10,Cant Lose Group
In-Store,2018-06-27,4,28,275,45,0.05,135.88,8,145,348495.46,2,1,1,211,4,Need Attention
Online,2018-06-27,19,25,226,17,0.15,979.27,5,162,461601.95,3,4,4,344,11,Potential Loyalists
Online,2018-06-28,20,49,288,6,0.15,2620.64,7,152,354161.33,2,2,1,221,5,Need Attention
Online,2018-06-28,15,11,60,12,0.075,4379.29,6,178,487614.24,3,5,5,355,13,Champions
Online,2018-06-28,17,19,297,9,0.3,49.85,3,165,443231.83,5,4,4,544,13,Potential Loyalists
In-Store,2018-06-28,3,20,75,23,0.3,-830.13,9,167,439147.97,2,4,3,243,9,Cant Lose Group
In-Store,2018-06-28,10,15,352,18,0.15,1137.93,4,142,441668.35,4,1,4,414,9,Potential Loyalists
In-Store,2018-06-28,8,26,25,30,0.3,-619.08,11,153,375766.72,1,2,2,122,5,Need Attention
Online,2018-06-28,16,7,23,36,0.075,24748.19,3,153,414155.93,5,2,3,523,10,Potential Loyalists
Distributor,2018-06-28,24,26,292,31,0.2,1263.49,11,153,375766.72,1,2,2,122,5,Need Attention
In-Store,2018-06-28,11,49,140,20,0.075,2080.15,7,152,354161.33,2,2,1,221,5,Need Attention
Online,2018-06-28,13,28,171,14,0.075,2505.8,8,145,348495.46,2,1,1,211,4,Need Attention
In-Store,2018-06-28,11,46,44,38,0.075,5695.5,4,157,378414.74,4,3,2,432,9,At Risk Customer
Online,2018-06-28,18,33,43,40,0.1,6403.26,4,156,495444.29,4,2,5,425,11,Champions
In-Store,2018-06-28,11,23,64,8,0.1,2602.95,12,164,449782.3,1,4,4,144,9,Cant Lose Group
Distributor,2018-06-29,21,35,18,10,0.05,5113.44,10,145,345844.59,2,1,1,211,4,Need Attention
Wholesale,2018-06-29,27,4,263,39,0.05,842.86,5,167,526981.0599999999,3,4,5,345,12,Champions
Online,2018-06-29,20,38,196,36,0.1,1939.65,8,150,350687.63,2,1,1,211,4,Need Attention
In-Store,2018-06-29,1,36,206,35,0.05,7330.87,4,156,441225.98,4,2,3,423,9,At Risk Customer
In-Store,2018-06-29,8,25,80,43,0.05,2435.58,5,162,461601.95,3,4,4,344,11,Potential Loyalists
In-Store,2018-06-30,4,8,172,38,0.05,1850.61,5,142,338000.04,3,1,1,311,5,Checker
In-Store,2018-06-30,6,12,274,37,0.075,501.29,3,210,616719.31,5,5,5,555,15,Champions
Online,2018-06-30,16,17,277,44,0.05,662.9,6,175,534027.38,3,5,5,355,13,Champions
Distributor,2018-06-30,21,40,147,34,0.1,5011.6,9,150,406016.91,2,1,2,212,5,Need Attention
Distributor,2018-06-30,20,3,332,17,0.4,-473.96,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Online,2018-06-30,19,26,274,23,0.075,530.64,11,153,375766.72,1,2,2,122,5,Need Attention
In-Store,2018-06-30,1,38,33,8,0.075,1361.98,8,150,350687.63,2,1,1,211,4,Need Attention
